refsize,bandwidth,time,power
2000,0,0.010429650944,0
4000,0,0.020331386472,0
8000,0,0.04050327949,0
16000,0,0.081511981784,0
32000,0,0.16884917113253012,0
64000,0,0.34276241916565653,0
128000,0,0.7014074115717213,0
256000,0,1.4263109228319149,0
2000,0,0.010419131456,0
4000,0,0.020420362978,0
8000,0,0.040554892622,0
16000,0,0.084014110126,0
32000,0,0.17701803041566266,0
64000,0,0.3407165475959596,0
128000,0,0.7070116922438524,0
256000,0,1.4244223319808509,0
2000,0,0.010466544608,0
4000,0,0.024029671858,0
8000,0,0.040667265076,0
16000,0,0.091301594802,0
32000,0,0.16690639923092368,0
64000,0,0.3507882802282828,0
128000,0,0.7081694724856558,0
256000,0,1.4314593786829788,0
2000,0,0.010525397674,0
4000,0,0.020376721928,0
8000,0,0.040584121264,0
16000,0,0.08203712194400001,0
32000,0,0.17493780449196789,0
64000,0,0.3460398542808081,0
128000,0,0.7023263004221311,0
256000,0,1.4151714987468087,0
2000,0,0.011806946734,0
4000,0,0.02132457897,0
8000,0,0.040607563062,0
16000,0,0.09761603542200001,0
32000,0,0.17423022148393574,0
64000,0,0.34573731626060605,0
128000,0,0.7014349735368852,0
256000,0,1.4279370035382979,0
2000,0,0.010407718434,0
4000,0,0.020500461882000002,0
8000,0,0.043844208012,0
16000,0,0.08202123403,0
32000,0,0.1803782256987952,0
64000,0,0.34417477777575756,0
128000,0,0.7028722626168034,0
256000,0,1.431644247451064,0
2000,0,0.010962250672,0
4000,0,0.020334943856,0
8000,0,0.040615239414,0
16000,0,0.08186961428600001,0
32000,0,0.17173159463253013,0
64000,0,0.34433427426262625,0
128000,0,0.7155344528954918,0
256000,0,1.4305442196106384,0
2000,0,0.01049356013,0
4000,0,0.020963207936,0
8000,0,0.042004587120000006,0
16000,0,0.08702123571399999,0
32000,0,0.17060559755823293,0
64000,0,0.35050167134949495,0
128000,0,0.6948033552295082,0
256000,0,1.421432036493617,0
