refsize,bandwidth,time,power
2000,0,0.012341317464,0
4000,0,0.024270966756,0
8000,0,0.043580935592000006,0
16000,0,0.09011946297,0
32000,0,0.17108922307228916,0
64000,0,0.34684391572727274,0
128000,0,0.7156068894180327,0
256000,0,1.4329031097170213,0
2000,0,0.01046884211,0
4000,0,0.0203452294,0
8000,0,0.040839134086,0
16000,0,0.087308642828,0
32000,0,0.1750622668554217,0
64000,0,0.34655823832121213,0
128000,0,0.7197858116127049,0
256000,0,1.3974597161914895,0
2000,0,0.010414072886,0
4000,0,0.020329487324,0
8000,0,0.040540533552,0
16000,0,0.08178475142,0
32000,0,0.1812966138313253,0
64000,0,0.34054683693535354,0
128000,0,0.6952658814938525,0
256000,0,1.3920317056085105,0
2000,0,0.010431021674,0
4000,0,0.02039949697,0
8000,0,0.040575238404,0
16000,0,0.081800354146,0
32000,0,0.1672337516827309,0
64000,0,0.33965769799595963,0
128000,0,0.6919537451331966,0
256000,0,1.3766084540595744,0
2000,0,0.01047758744,0
4000,0,0.020413786222,0
8000,0,0.040625783494,0
16000,0,0.081565027804,0
32000,0,0.167081571126506,0
64000,0,0.33690394234949494,0
128000,0,0.6798016377807377,0
256000,0,1.368140891093617,0
2000,0,0.010593205678,0
4000,0,0.020342016444,0
8000,0,0.040591848204000004,0
16000,0,0.08162162217,0
32000,0,0.17101987457028114,0
64000,0,0.337802451820202,0
128000,0,0.676366424045082,0
256000,0,1.3645923089021277,0
2000,0,0.010356593164,0
4000,0,0.020365065874,0
8000,0,0.04064733665,0
16000,0,0.081618377334,0
32000,0,0.1675111694437751,0
64000,0,0.3385553938808081,0
128000,0,0.6789050048340164,0
256000,0,1.3636213724765958,0
2000,0,0.01038552753,0
4000,0,0.020463308660000002,0
8000,0,0.040640828262,0
16000,0,0.082459517486,0
32000,0,0.16852198078714858,0
64000,0,0.33620756901818183,0
128000,0,0.6720969152356557,0
256000,0,1.3505665071276596,0
