refsize,num_scouts,num_packs,time,power
200000,14,2,0.3331821764875,35
200000,14,2,0.3328386373083333,36
200000,14,2,0.3256011529125,37
200000,14,2,0.32303075326458336,38
200000,16,2,0.33840171093125004,35
200000,16,2,0.33637275516041665,36
200000,16,2,0.33593490201041665,37
200000,16,2,0.32628332440833335,38
200000,18,2,0.3457171868354167,35
200000,18,2,0.3381594828416667,36
200000,18,2,0.32953510370833333,37
200000,18,2,0.32455082810625,38
200000,20,2,0.33635342716666666,35
200000,20,2,0.34310164424583334,36
200000,20,2,0.33062370561875,37
200000,20,2,0.32795133633333334,38
200000,14,3,0.23370412771458335,35
200000,14,3,0.22533820750416667,36
200000,14,3,0.22586556561666668,37
200000,14,3,0.22320313740208333,38
200000,16,3,0.23319343140625,35
200000,16,3,0.23308285800208334,36
200000,16,3,0.22704768520625002,37
200000,16,3,0.22177150902499998,38
200000,18,3,0.2333784089125,35
200000,18,3,0.23925733073333333,36
200000,18,3,0.22648733408541666,37
200000,18,3,0.22737391516875,38
200000,20,3,0.23622236359791665,35
200000,20,3,0.23697266680625,36
200000,20,3,0.23068398797083334,37
200000,20,3,0.227166764425,38
