refsize,num_scouts,num_packs,result,power
200000,14,2,0.30788608456875,35
200000,14,2,0.3053633999979166,36
200000,14,2,0.3017472005583333,37
200000,14,2,0.27918844765208334,38
200000,16,2,0.30806417577083334,35
200000,16,2,0.30658943894583335,36
200000,16,2,0.3110602728395833,37
200000,16,2,0.29958668576041664,38
200000,18,2,0.31562615024583335,35
200000,18,2,0.31892831657291665,36
200000,18,2,0.29814111883958333,37
200000,18,2,0.30632301392708333,38
200000,20,2,0.3162265411645833,35
200000,20,2,0.3199307540333333,36
200000,20,2,0.3153193038,37
200000,20,2,0.30224069122916664,38
200000,14,3,0.21307491061458333,35
200000,14,3,0.21234109298333334,36
200000,14,3,0.20866209597916668,37
200000,14,3,0.21051384962083333,38
200000,16,3,0.21907308446875,35
200000,16,3,0.21408968160416667,36
200000,16,3,0.2095865105416667,37
200000,16,3,0.20534214156041666,38
200000,18,3,0.2157789279770833,35
200000,18,3,0.22014120284375,36
200000,18,3,0.21192835096666668,37
200000,18,3,0.21295950824999998,38
200000,20,3,0.22107326875,35
200000,20,3,0.21660569539166666,36
200000,20,3,0.21275220547916665,37
200000,20,3,0.21073779632708334,38
