refsize,num_scouts,num_packs,result,power
2000,20,3,0.02013881022,35
2000,20,3,0.018915775817999997,36
2000,20,3,0.017741206426,37
2000,20,3,0.019626774574,38
4000,20,3,0.021185226986000002,35
4000,20,3,0.020441939548,36
4000,20,3,0.021503600642,37
4000,20,3,0.020966734688,38
8000,20,3,0.028275455184,35
8000,20,3,0.0323723874,36
8000,20,3,0.02929809974,37
8000,20,3,0.02650304122,38
16000,20,3,0.044059462349999995,35
16000,20,3,0.046383072156,36
16000,20,3,0.040786089532000004,37
16000,20,3,0.03917966482,38
32000,20,3,0.06800435693373494,35
32000,20,3,0.06727514280321285,36
32000,20,3,0.06380011769277108,37
32000,20,3,0.06181021651807229,38
64000,20,3,0.11328408956969697,35
64000,20,3,0.11068278830909091,36
64000,20,3,0.11514806624646465,37
64000,20,3,0.10450347925656565,38
128000,20,3,0.14757980119262296,35
128000,20,3,0.14958568109016393,36
128000,20,3,0.14234469544057377,37
128000,20,3,0.14597506964754098,38
256000,20,3,0.28606695305744684,35
256000,20,3,0.27803791090212765,36
256000,20,3,0.28250734934042554,37
256000,20,3,0.27504435281914896,38
